modern_nam;LCD_name;ID;unci;N;E
Vasta;Uvaskaethae;LCD446;8;6591472;482522
Vastja;Waskilae;LCD447;2;6525449;377104
Vatku;Wataekya;LCD448;20;6600726;433059
Vatsla;Wasal;LCD449;5;6587423;357646
Veadla;Uvaetel;LCD450;5;6564105;462310
Veltsi;Uilsae;LCD451;20;6584932;458464
Veski;Aunapo;LCD452;5;6574085;394051
Viimsi;Uianra;LCD454;7;6598155;377543
Vilama;Laucotaux;LCD455;2;6562950;402246
Villakvere;Viliacaueri;LCD456;6;6528130;464151
Vilumäe;Uilumaeki;LCD457;5;6556554;344241
Vinni;Vitni;LCD458;24;6572763;465067
Virla;Wircol;LCD459;3;6547936;400654
Viruküla;Viraekilae;LCD460;3;6553754;340472
Hageda;Akedolae;LCD461;11;6589982;482427
Vohnja;Ouhut;LCD462;20;6582390;445600
Voore;Uorulae;LCD463;20;6565683;472422
Voorepere;Uorumperae;LCD464;8;6585625;507431
Voose;Hohen;LCD465;8;6564222;410062
Võduvere;Waettaeuaer;LCD466;8;6576534;450818
Võerdla;Waerael;LCD467;7;6592720;390269
Võhma;Vemais;LCD468;12;6580760;475333
Võhu;Vov;LCD469;20;6565703;475749
Võide;Waeudith;LCD470;9;6568811;515887
Võipere;Waeibigaerwa;LCD471;30;6586113;449699
Võivere;Waetheuerae;LCD472;4;6562660;383602
Võle;Ulkaenpet;LCD473;12;6592373;457125
Võrkla;Waerkaelae;LCD474;15;6588346;482029
Võrnu;Waerkun;LCD475;13;6573864;511155
Väike-Tammiku;Tamicas;LCD476;8;6541100;460821
Väo;Uvaetho;LCD477;13;6590537;381589
Ämari;Hemaeri;LCD478;5;6571966;339973
Ääsmäe;Asimekae;LCD479;20;6569274;359158
Üksnurme;Huxnum;LCD480;7;6574186;364995
Ürjaste;Yrias;LCD481;6;6555697;346594
Tõdva;Tedau;LCD482;15;6572450;370946
Vihula;Viola;LCD485;;6600778;451898
Karula;Carola;LCD483;;6600403;456747
Kandla;Kandalae;LCD484;24;6596569;458574
Pühali;Pyol;LCD486;;6557118;362293
;Ropae;LCD487;;;
